Territori;Tipus de territori;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Crecimiento_%
Barcelona;Municipi;6.0;6.87;7.62;8.0;8.68;9.64;10.56;11.54;12.24;11.92;11.6;11.38;10.84;10.29;10.16;11.09;12.22;13.36;13.42;13.98;13.89;13.21;14.54;16.1;16.13;16.37;45.175834084761064
Ciutat Vella;Districte;5.53;6.43;7.29;7.59;8.56;9.76;10.69;11.6;12.57;12.42;12.07;12.05;11.66;11.38;11.38;12.45;13.9;15.46;14.46;14.77;14.34;13.24;15.79;16.66;16.6;17.8;33.815261044176715
el Raval;Barri;;;;;;;;;;;;;;;10.47;11.1;12.26;13.92;14.02;14.32;14.04;12.91;15.22;15.89;15.94;16.34;43.15315315315316
el Barri Gòtic;Barri;;;;;;;;;;;;;;;10.54;11.21;13.04;14.19;13.8;14.3;13.63;12.59;15.65;16.44;16.22;16.49;46.654772524531666
la Barceloneta;Barri;;;;;;;;;;;;;;;15.15;16.33;18.18;19.84;16.88;17.4;17.28;16.0;18.77;18.98;19.97;22.32;16.22780159216168
Sant Pere, Santa Caterina i la Ribera;Barri;;;;;;;;;;;;;;;11.24;12.7;14.09;15.71;15.02;15.16;14.62;13.59;16.05;17.41;17.08;18.21;37.086614173228355
Eixample;Districte;5.75;6.81;7.47;7.88;8.45;9.49;10.26;11.26;11.89;11.64;11.34;11.19;10.75;10.24;10.28;11.18;12.39;13.43;13.73;14.34;14.22;13.35;14.93;16.51;16.64;16.52;47.67441860465118
el Fort Pienc;Barri;;;;;;;;;;;;;;;9.98;10.89;11.76;13.11;13.13;14.02;13.9;13.05;14.38;16.08;15.9;15.3;47.658402203856724
la Sagrada Família;Barri;;;;;;;;;;;;;;;10.46;11.11;12.2;13.35;13.71;14.48;14.31;13.58;15.31;16.7;16.81;16.67;50.31503150315032
la Dreta de l'Eixample;Barri;;;;;;;;;;;;;;;10.06;11.29;12.86;13.54;13.96;14.4;14.16;13.15;15.0;16.59;16.76;17.01;46.94419840566874
l'Antiga Esquerra de l'Eixample;Barri;;;;;;;;;;;;;;;10.48;11.37;12.73;13.73;14.05;14.48;14.32;13.65;15.2;16.75;16.99;16.36;47.3175021987687
la Nova Esquerra de l'Eixample;Barri;;;;;;;;;;;;;;;10.42;11.27;12.37;13.55;13.92;14.52;14.42;13.44;14.95;16.68;16.73;17.06;48.00354924578528
Sant Antoni;Barri;;;;;;;;;;;;;;;10.01;10.96;12.08;13.02;13.17;13.85;13.95;12.96;14.4;15.87;16.14;15.94;44.799270072992684
Sants-Montjuïc;Districte;6.05;6.68;7.51;7.77;8.68;9.51;10.49;11.28;12.22;11.91;11.55;11.3;10.76;10.1;9.89;10.66;11.66;12.92;13.01;13.49;13.64;12.97;14.08;16.33;15.65;16.34;53.18949343339585
el Poble Sec - AEI Parc Montjuïc;Barri;;;;;;;;;;;;;;;10.19;11.09;12.28;13.69;13.85;14.36;14.26;13.62;15.23;16.0;16.41;16.5;44.2741208295762
la Marina del Prat Vermell - AEI Zona Franca;Barri;;;;;;;;;;;;;;;5.36;6.61;5.87;;;7.1;;5.9;7.19;13.39;8.68;16.49;102.57186081694402
la Marina de Port;Barri;;;;;;;;;;;;;;;7.99;8.36;8.87;10.36;10.58;10.83;11.15;10.71;10.6;12.58;12.02;12.5;50.478468899521545
la Font de la Guatlla;Barri;;;;;;;;;;;;;;;10.62;11.33;12.05;13.03;12.37;12.84;13.32;12.75;14.06;15.82;15.64;16.08;39.62930273609885
Hostafrancs;Barri;;;;;;;;;;;;;;;10.27;11.12;12.16;12.91;13.54;13.83;13.96;13.14;14.24;15.81;15.64;16.33;42.17625899280577
la Bordeta;Barri;;;;;;;;;;;;;;;9.31;9.84;10.82;11.94;12.15;12.76;12.98;12.34;13.42;21.06;18.72;19.3;114.02439024390243
Sants - Badal;Barri;;;;;;;;;;;;;;;9.94;10.74;11.75;13.15;13.04;13.82;13.83;13.17;14.44;15.68;16.05;16.03;45.99627560521415
Sants;Barri;;;;;;;;;;;;;;;10.07;10.99;11.89;13.18;13.15;13.84;13.86;13.12;14.18;15.76;15.96;15.87;43.40309372156506
Les Corts;Districte;7.59;8.64;8.9;9.34;9.96;10.78;11.85;13.01;13.38;12.91;12.31;12.12;11.62;11.18;11.01;11.97;13.17;14.22;14.52;14.95;14.67;13.84;15.23;16.77;17.39;17.21;40.1002506265664
les Corts;Barri;;;;;;;;;;;;;;;11.07;11.85;13.04;14.33;14.84;15.05;14.86;14.06;15.44;17.08;17.43;17.71;44.1350210970464
la Maternitat i Sant Ramon;Barri;;;;;;;;;;;;;;;10.38;11.42;12.91;13.37;13.59;14.45;13.97;12.98;14.78;15.76;16.43;16.04;38.003502626970224
Pedralbes;Barri;;;;;;;;;;;;;;;12.33;14.15;14.65;16.21;15.35;15.69;15.47;15.06;15.25;17.48;19.29;17.29;23.53356890459364
